Ticker,ForeignNet
TLDN,139800.0
TLKM,53796800.0
TMAS,-769400.0
TMPO,0.0
TNCA,0.0
TOBA,-13350800.0
TOOL,-638600.0
TOPS,0.0
TOSK,-6377400.0
TOTL,-180400.0
TOTO,-34400.0
TOWR,-3335400.0
TOYS,0.0
TPIA,-957700.0
TPMA,150800.0
TRAM,0.0
TRGU,-100.0
TRIL,0.0
TRIM,-107300.0
TRIN,-2392300.0
TRIO,0.0
TRIS,-16300.0
TRJA,0.0
TRON,1493900.0
TRST,1000.0
TRUE,-3411700.0
TRUK,-9000.0
TRUS,1600.0
TSPC,-709200.0
TUGU,-270600.0
TYRE,-11200.0
UANG,-409300.0
UCID,151600.0
UDNG,592100.0
UFOE,23500.0
ULTJ,1089800.0
UNIC,300.0
UNIQ,-337200.0
UNIT,0.0
UNSP,0.0
UNTD,422500.0
UNTR,676200.0
UNVR,4228100.0
URBN,33900.0
UVCR,-488300.0
VAST,-17200.0
VERN,900.0
VICI,122800.0
VICO,0.0
VINS,0.0
VISI,16600.0
VIVA,0.0
VKTR,-6451700.0
VOKS,400.0
VRNA,0.0
VTNY,1460900.0
WAPO,-17300.0
WEGE,0.0
WEHA,745100.0
WGSH,0.0
WICO,0.0
WIDI,0.0
WIFI,-3742900.0
WIIM,384400.0
WIKA,0.0
WINE,-731900.0
WINR,0.0
WINS,-489300.0
WIRG,-1897300.0
WMPP,0.0
WMUU,8959800.0
WOMF,0.0
WOOD,491500.0
WOWS,-84500.0
WSBP,0.0
WSKT,0.0
WTON,-15100.0
YELO,-7818200.0
YOII,745100.0
YPAS,5300.0
YULE,0.0
YUPI,3300.0
ZATA,-1342400.0
ZBRA,0.0
ZINC,0.0
ZONE,0.0
ZYRX,-2500.0
