Ticker,Sector
STAA.JK,Consumer Defensive
NANO.JK,Healthcare
BIKE.JK,Consumer Cyclical
WIRG.JK,Technology
SICO.JK,Energy
GOTO.JK,Technology
TLDN.JK,Consumer Defensive
MTMH.JK,Healthcare
WINR.JK,Real Estate
IBOS.JK,Consumer Cyclical
OLIV.JK,Consumer Cyclical
ASHA.JK,Consumer Defensive
SWID.JK,Real Estate
TRGU.JK,Consumer Defensive
ARKO.JK,Utilities
CHEM.JK,Basic Materials
DEWI.JK,Consumer Defensive
AXIO.JK,Technology
KRYA.JK,Industrials
HATM.JK,Industrials
RCCC.JK,Industrials
GULA.JK,Consumer Defensive
JARR.JK,Consumer Defensive
AMMS.JK,Consumer Defensive
RAFI.JK,Consumer Cyclical
KKES.JK,Basic Materials
ELPI.JK,Industrials
EURO.JK,Consumer Defensive
KLIN.JK,Consumer Cyclical
TOOL.JK,Consumer Cyclical
BUAH.JK,Consumer Defensive
CRAB.JK,Consumer Defensive
MEDS.JK,Healthcare
COAL.JK,Energy
PRAY.JK,Healthcare
CBUT.JK,Consumer Defensive
BELI.JK,Consumer Cyclical
MKTR.JK,Consumer Defensive
OMED.JK,Healthcare
BSBK.JK,Real Estate
PDPP.JK,Consumer Cyclical
KDTN.JK,Consumer Cyclical
ZATA.JK,Consumer Cyclical
NINE.JK,Technology
MMIX.JK,Healthcare
PADA.JK,Industrials
ISAP.JK,Industrials
VTNY.JK,Industrials
SOUL.JK,Industrials
ELIT.JK,Technology
BEER.JK,Consumer Defensive
CBPE.JK,Real Estate
SUNI.JK,Energy
CBRE.JK,Industrials
WINE.JK,Consumer Defensive
BMBL.JK,Consumer Defensive
PEVE.JK,Healthcare
LAJU.JK,Industrials
FWCT.JK,Basic Materials
NAYZ.JK,Consumer Defensive
IRSX.JK,Technology
PACK.JK,Consumer Cyclical
VAST.JK,Real Estate
CHIP.JK,Communication Services
HALO.JK,Basic Materials
KING.JK,Industrials
PGEO.JK,Utilities
FUTR.JK,Utilities
HILL.JK,Basic Materials
BDKR.JK,Industrials
PTMP.JK,Industrials
SAGE.JK,Real Estate
TRON.JK,Technology
CUAN.JK,Energy
NSSS.JK,Consumer Defensive
GTRA.JK,Industrials
HAJJ.JK,Consumer Cyclical
JATI.JK,Technology
TYRE.JK,Consumer Cyclical
MPXL.JK,Industrials
SMIL.JK,Industrials
KLAS.JK,Industrials
MAXI.JK,Consumer Defensive
VKTR.JK,Consumer Cyclical
RELF.JK,Real Estate
AMMN.JK,Basic Materials
CRSN.JK,Industrials
GRPM.JK,Consumer Defensive
WIDI.JK,Industrials
TGUK.JK,Consumer Defensive
INET.JK,Communication Services
MAHA.JK,Industrials
RMKO.JK,Energy
CNMA.JK,Communication Services
FOLK.JK,Consumer Cyclical
HBAT.JK,Real Estate
GRIA.JK,Real Estate
PPRI.JK,Consumer Cyclical
ERAL.JK,Consumer Cyclical
CYBR.JK,Technology
MUTU.JK,Industrials
LMAX.JK,Energy
HUMI.JK,Industrials
MSIE.JK,Real Estate
RSCH.JK,Healthcare
BABY.JK,Consumer Cyclical
AEGS.JK,Consumer Cyclical
IOTF.JK,Technology
KOCI.JK,Real Estate
PTPS.JK,Consumer Defensive
BREN.JK,Utilities
STRK.JK,Consumer Defensive
KOKA.JK,Industrials
LOPI.JK,Industrials
UDNG.JK,Consumer Defensive
RGAS.JK,Energy
MSTI.JK,Technology
IKPM.JK,Healthcare
AYAM.JK,Consumer Defensive
SURI.JK,Healthcare
ASLI.JK,Industrials
GRPH.JK,Consumer Cyclical
SMGA.JK,Basic Materials
UNTD.JK,Consumer Cyclical
TOSK.JK,Technology
MPIX.JK,Technology
ALII.JK,Industrials
MKAP.JK,Energy
MEJA.JK,Industrials
LIVE.JK,Consumer Cyclical
HYGN.JK,Industrials
BAIK.JK,Consumer Cyclical
VISI.JK,Industrials
AREA.JK,Technology
MHKI.JK,Industrials
ATLA.JK,Energy
DATA.JK,Communication Services
SOLA.JK,Industrials
BATR.JK,Basic Materials
